Nome,Carta_Scelta,Punteggio
Henry,Nove di Fiori,4
Eva,Nove di Fiori,9
Bob,Regina di Picche,4
Jack,Asso di Picche,10
Ivy,Tre di Cuori,3
Alice,Cinque di Quadri,7
Bob,Tre di Quadri,4
Eva,Due di Picche,2
Henry,Due di Fiori,4
David,Nove di Cuori,9
Henry,Fante di Cuori,10
Ivy,Tre di Quadri,10
Grace,Tre di Quadri,10
Henry,Cinque di Fiori,1
Eva,Tre di Cuori,2
David,Sei di Cuori,10
Grace,Fante di Fiori,9
Jack,Due di Quadri,10
Grace,Tre di Quadri,7
Bob,Dieci di Quadri,8
Carol,Sei di Quadri,3
Grace,Sette di Fiori,7
Eva,Fante di Cuori,8
Carol,Due di Fiori,9
David,Otto di Fiori,5
Alice,Due di Picche,10
Jack,Tre di Cuori,2
Alice,Quattro di Fiori,4
Carol,Asso di Quadri,10
Henry,Sei di Cuori,1
Ivy,Sette di Cuori,6
Frank,Fante di Picche,5
Jack,Tre di Picche,5
Eva,Sette di Fiori,9
Jack,Quattro di Quadri,3
Frank,Regina di Fiori,8
Frank,Dieci di Fiori,10
Eva,Otto di Quadri,4
Ivy,Cinque di Picche,4
Grace,Quattro di Quadri,1
Alice,Otto di Quadri,6
Grace,Quattro di Picche,2
Eva,Cinque di Picche,4
Grace,Otto di Fiori,3
Alice,Tre di Cuori,3
David,Sei di Cuori,3
Henry,Regina di Quadri,9
Frank,Re di Quadri,5
Eva,Due di Cuori,1
Eva,Sei di Cuori,10
Ivy,Nove di Fiori,6
